TXN,EntryMode,Cards,SubfieldID,Rule,Description
Sale,A,,1,O,Transaction Identifier
Sale,A,,2,O,Validation Code
Sale,A,,3,O,Product ID
Sale,A,,4,O,Merchant Specific Data
Sale,C,M,8,M,Device Type Indicator
Sale,T,M,8,M,Device Type Indicator
Sale,A,,11,M,Specification Version
Sale,F,,12,M,Chip Condition Code
Sale,A,,13,M,Acceptance Device Type
PreAuth,A,,1,O,Transaction Identifier
PreAuth,A,,2,O,Validation Code
PreAuth,A,,3,O,Product ID
PreAuth,A,,4,O,Merchant Specific Data
PreAuth,C,M,8,M,Device Type Indicator
PreAuth,T,M,8,M,Device Type Indicator
PreAuth,A,,11,M,Specification Version
PreAuth,F,,12,M,Chip Condition Code
PreAuth,A,,13,M,Acceptance Device Type
PVoid,A,U,1,O,Transaction Identifier
PVoid,A,U,2,O,Validation Code
PVoid,A,U,3,O,Product ID
PVoid,A,U,4,O,Merchant Specific Data
PVoid,A,U,11,M,Specification Version
PVoid,F,U,12,M,Chip Condition Code
PVoid,A,U,13,M,Acceptance Device Type
Void,A,,1,O,Transaction Identifier
Void,A,,2,O,Validation Code
Void,A,,3,O,Product ID
Void,A,,4,O,Merchant Specific Data
Void,C,M,8,M,Device Type Indicator
Void,T,M,8,M,Device Type Indicator
Void,A,,11,M,Specification Version
Void,F,,12,M,Chip Condition Code
Void,A,,13,M,Acceptance Device Type
Refund,A,,1,O,Transaction Identifier
Refund,A,,2,O,Validation Code
Refund,A,,3,O,Product ID
Refund,A,,4,O,Merchant Specific Data
Refund,C,M,8,M,Device Type Indicator
Refund,T,M,8,M,Device Type Indicator
Refund,A,,11,M,Specification Version
Refund,F,,12,M,Chip Condition Code
Refund,A,,13,M,Acceptance Device Type
RVoid,A,V,1,O,Transaction Identifier
RVoid,A,V,2,O,Validation Code
RVoid,A,V,3,O,Product ID
RVoid,A,V,4,O,Merchant Specific Data
RVoid,C,M,8,M,Device Type Indicator
RVoid,T,M,8,M,Device Type Indicator
RVoid,A,V,11,M,Specification Version
RVoid,F,V,12,M,Chip Condition Code
RVoid,A,V,13,M,Acceptance Device Type
Completion,A,,1,O,Transaction Identifier
Completion,A,,2,O,Validation Code
Completion,A,,3,O,Product ID
Completion,A,,4,O,Merchant Specific Data
Completion,A,,11,M,Specification Version
Completion,F,,12,M,Chip Condition Code
Completion,A,,13,M,Acceptance Device Type
SaleTip,A,,1,O,Transaction Identifier
SaleTip,A,,2,O,Validation Code
SaleTip,A,,3,O,Product ID
SaleTip,A,,4,O,Merchant Specific Data
SaleTip,C,M,8,M,Device Type Indicator
SaleTip,T,M,8,M,Device Type Indicator
SaleTip,A,,11,M,Specification Version
SaleTip,F,,12,M,Chip Condition Code
SaleTip,A,,13,M,Acceptance Device Type
SaleAdj,A,,1,O,Transaction Identifier
SaleAdj,A,,2,O,Validation Code
SaleAdj,A,,3,O,Product ID
SaleAdj,A,,4,O,Merchant Specific Data
SaleAdj,A,,11,M,Specification Version
SaleAdj,F,,12,M,Chip Condition Code
SaleAdj,A,,13,M,Acceptance Device Type
TCUpload,A,,1,O,Transaction Identifier
TCUpload,A,,2,O,Validation Code
TCUpload,A,,3,O,Product ID
TCUpload,A,,4,O,Merchant Specific Data
TCUpload,A,,11,M,Specification Version
TCUpload,A,,13,M,Acceptance Device Type
RSale,A,,1,O,Transaction Identifier
RSale,A,,2,O,Validation Code
RSale,A,,3,O,Product ID
RSale,A,,4,O,Merchant Specific Data
RSale,A,,11,M,Specification Version
RSale,F,,12,M,Chip Condition Code
RSale,A,,13,M,Acceptance Device Type
RPreAuth,A,,1,O,Transaction Identifier
RPreAuth,A,,2,O,Validation Code
RPreAuth,A,,3,O,Product ID
RPreAuth,A,,4,O,Merchant Specific Data
RPreAuth,A,,11,M,Specification Version
RPreAuth,F,,12,M,Chip Condition Code
RPreAuth,A,,13,M,Acceptance Device Type
RVoid,A,,1,O,Transaction Identifier
RVoid,A,,2,O,Validation Code
RVoid,A,,3,O,Product ID
RVoid,A,,4,O,Merchant Specific Data
RVoid,A,,11,M,Specification Version
RVoid,F,,12,M,Chip Condition Code
RVoid,A,,13,M,Acceptance Device Type
RRefund,A,,1,O,Transaction Identifier
RRefund,A,,2,O,Validation Code
RRefund,A,,3,O,Product ID
RRefund,A,,4,O,Merchant Specific Data
RRefund,A,,11,M,Specification Version
RRefund,F,,12,M,Chip Condition Code
RRefund,A,,13,M,Acceptance Device Type
