TXN,Tag,Visa,MC,UP,JCB,Description
COMPLETION,4F,X,X,X,C,Application ID (AID)
COMPLETION,5F2A,M,M,M,M,Transaction Currency Code
COMPLETION,5F34,C,C,C,C,Application PAN Sequence Number
COMPLETION,82,M,M,M,M,Application Interchange Profile (AIP)
COMPLETION,84,M,C,C,C,Dedicated File (DF) Name This tag contains the Application ID (AID) that was selected for transaction routing.
COMPLETION,95,M,M,M,M,Terminal Verification Results (TVR)
COMPLETION,96,X,C,X,X,Kernel Identifier - Terminal
COMPLETION,9A,M,M,M,M,Transaction Date
COMPLETION,9C,M,M,M,M,Transaction Type
COMPLETION,9F02,M,M,M,M,"Amount, Authorized (Numeric)"
COMPLETION,9F03,C,C,M,M,"Amount, Other (Numeric)"
COMPLETION,9F09,X,C,C,C,Application Version Number
COMPLETION,9F10,M,M,M,M,Issuer Application Data (IAD)
COMPLETION,9F19,X,X,C,X,Token Requestor ID
COMPLETION,9F1A,M,M,M,M,Terminal Country Code
COMPLETION,9F1B,X,X,X,X,Terminal Floor Limit
COMPLETION,9F1E,C,C,C,C,Interface Device (IFD) Serial Number
COMPLETION,9F25,X,X,C,X,Last four digits of PAN
COMPLETION,9F26,M,M,M,M,Application Cryptogram (AC)
COMPLETION,9F27,X,M,M,M,Cryptogram Information Data (CID)
COMPLETION,9F33,M,C,M,M,Terminal Capabilities
COMPLETION,9F34,X,C,C,C,Cardholder Verification Method (CVM) Results
COMPLETION,9F35,X,C,C,C,Terminal Type
COMPLETION,9F36,M,M,M,M,Application Transaction Counter (ATC)
COMPLETION,9F37,M,M,M,M,Unpredictable Number (UN)
COMPLETION,9F41,X,C,C,C,Transaction Sequence Counter
COMPLETION,9F53,X,C,X,X,Transaction Category Code (TCC)
COMPLETION,9F5B,C,X,X,X,Issuer Script Results
COMPLETION,9F60,X,C,X,X,Authenticated Application Data
COMPLETION,9F63,X,X,C,X,Card Product Identification Information
COMPLETION,9F6E,C,X,X,C,Form Factor Indicator Applicable for contactless transactions
COMPLETION,9F6E,X,C,X,X,Third Party Data Applicable for contactless transactions
COMPLETION,9F7C,C,X,C,C,Customer ENclusive Data Applicable for contactless transactions
COMPLETION,DF31,X,X,C,X,Issuer Script Results
TCUPLOAD,4F,X,X,X,C,Application ID (AID)
TCUPLOAD,5F2A,M,M,M,M,Transaction Currency Code
TCUPLOAD,5F34,C,C,C,C,Application PAN Sequence Number
TCUPLOAD,82,M,M,M,M,Application Interchange Profile (AIP)
