TXN,CARDS,DE,C,S,F,M,T,Description
PREAUTH,V,2,X,X,X,M,X,Primary Account Number (PAN)
PREAUTH,V,3,0030NN,0030NN,0030NN,0030NN,0030NN,Processing Code
PREAUTH,V,4,M,M,M,M,M,"Amount, Transaction"
PREAUTH,V,11,M,M,M,M,M,Systems Trace Audit Number
PREAUTH,V,12,O,O,O,O,O,"Time, Local Transaction"
PREAUTH,V,13,O,O,O,O,O,"Date, Local Transaction"
PREAUTH,V,14,X,X,X,M,X,"Date, Expiration"
PREAUTH,V,18,O,O,O,O,O,Merchant Type Code
PREAUTH,V,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
PREAUTH,V,24,M,M,M,M,M,Network International Identifier (NII)
PREAUTH,V,25,50,50,50,50,50,Point-of-Service Condition Code
PREAUTH,V,28,O,O,O,O,O,Transaction Fee Amount
PREAUTH,V,35,M,M,M,X,M,Track 2 Data
PREAUTH,V,36,X,X,X,X,X,Track 3 Data
PREAUTH,V,37,X,X,X,X,X,Retrieval Reference Number
PREAUTH,V,38,X,X,X,X,X,Authorization Code
PREAUTH,V,39,X,X,X,X,X,Response Code
PREAUTH,V,41,O,O,O,O,O,Card Acceptor Terminal Identification
PREAUTH,V,42,M,M,M,M,M,Card Acceptor Identification Code
PREAUTH,V,48,O,O,O,O,O,Card Verification Data
PREAUTH,V,52,M,M,M,M,M,PIN Data
PREAUTH,V,53,M,M,M,M,M,Security Related Control Information
PREAUTH,V,54,X,X,X,X,X,Additional Amounts
PREAUTH,V,55,M,X,X,X,M,EMV Chip Data
PREAUTH,V,59,O,O,O,O,O,Card Authentication Data
PREAUTH,V,61,M,M,M,M,M,Additional POS Data
PREAUTH,V,62,O,O,O,O,O,Invoice/ECR Reference Number
PREAUTH,V,63,M,M,M,M,M,Additional Data
PREAUTH,U,2,X,X,X,M,X,Primary Account Number (PAN)
PREAUTH,U,3,0000NN,0000NN,0000NN,0000NN,0000NN,Processing Code
PREAUTH,U,4,M,M,M,M,M,"Amount, Transaction"
PREAUTH,U,11,M,M,M,M,M,Systems Trace Audit Number
PREAUTH,U,12,O,O,O,O,O,"Time, Local Transaction"
PREAUTH,U,13,O,O,O,O,O,"Date, Local Transaction"
PREAUTH,U,14,X,X,X,M,X,"Date, Expiration"
PREAUTH,U,18,O,O,O,O,O,Merchant Type Code
PREAUTH,U,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
PREAUTH,U,24,M,M,M,M,M,Network International Identifier (NII)
PREAUTH,U,25,50,50,50,50,50,Point-of-Service Condition Code
PREAUTH,U,28,O,O,O,O,O,Transaction Fee Amount
PREAUTH,U,35,M,M,M,X,M,Track 2 Data
PREAUTH,U,36,C,C,C,X,C,Track 3 Data
PREAUTH,U,37,X,X,X,X,X,Retrieval Reference Number
PREAUTH,U,38,X,X,X,X,X,Authorization Code
PREAUTH,U,39,X,X,X,X,X,Response Code
PREAUTH,U,41,O,O,O,O,O,Card Acceptor Terminal Identification
PREAUTH,U,42,M,M,M,M,M,Card Acceptor Identification Code
PREAUTH,U,48,O,O,O,O,O,Card Verification Data
PREAUTH,U,52,O,O,O,O,O,PIN Data
PREAUTH,U,53,O,O,O,O,O,Security Related Control Information
PREAUTH,U,54,X,X,X,X,X,Additional Amounts
PREAUTH,U,55,M,X,X,X,M,EMV Chip Data
PREAUTH,U,59,O,O,O,O,O,Card Authentication Data
PREAUTH,U,61,M,M,M,M,M,Additional POS Data
PREAUTH,U,62,O,O,O,O,O,Invoice/ECR Reference Number
PREAUTH,U,63,M,M,M,M,M,Additional Data
PVOID,U,2,X,X,M,M,X,Primary Account Number (PAN)
PVOID,U,3,2000NN,2000NN,2000NN,2000NN,2000NN,Processing Code
PVOID,U,4,M,M,M,M,M,"Amount, Transaction"
PVOID,U,11,M,M,M,M,M,Systems Trace Audit Number
PVOID,U,12,O,O,O,O,O,"Time, Local Transaction"
PVOID,U,13,M,M,M,M,M,"Date, Local Transaction"
PVOID,U,14,X,X,X,M,X,"Date, Expiration"
PVOID,U,22,01N,01N,01N,01N,01N,Point-of-Service Entry Mode
PVOID,U,24,M,M,M,M,M,Network International Identifier (NII)
PVOID,U,25,50,50,50,50,50,Point-of-Service Condition Code
PVOID,U,35,X,M,X,X,X,Track 2 Data
PVOID,U,36,O,O,O,O,O,Track 3 Data
PVOID,U,37,M,M,M,M,M,Retrieval Reference Number
PVOID,U,38,O,O,O,O,O,Authorization Code
PVOID,U,39,X,X,X,X,X,Response Code
PVOID,U,41,O,O,O,O,O,Card Acceptor Terminal Identification
PVOID,U,42,M,M,M,M,M,Card Acceptor Identification Code
PVOID,U,48,O,O,O,O,O,Card Verification Data
PVOID,U,52,O,O,O,O,O,PIN Data
PVOID,U,53,O,O,O,O,O,Security Related Control Information
PVOID,U,55,M,X,X,X,M,EMV Chip Data
PVOID,U,59,O,O,O,O,O,Card Authentication Data
PVOID,U,61,M,M,M,M,M,Additional POS Data
PVOID,U,62,O,O,O,O,O,Invoice/ECR Reference Number
PVOID,U,63,M,M,M,M,M,Additional Data
SALE,V,2,X,X,X,M,X,Primary Account Number (PAN)
SALE,V,3,0030NN,0030NN,0030NN,0030NN,0030NN,Processing Code
SALE,V,4,M,M,M,M,M,"Amount, Transaction"
SALE,V,11,M,M,M,M,M,Systems Trace Audit Number
SALE,V,12,O,O,O,O,O,"Time, Local Transaction"
SALE,V,13,O,O,O,O,O,"Date, Local Transaction"
SALE,V,14,X,X,X,M,X,"Date, Expiration"
SALE,V,18,O,O,O,O,O,Merchant Type Code
SALE,V,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
SALE,V,24,M,M,M,M,M,Network International Identifier (NII)
SALE,V,25,50,50,50,50,50,Point-of-Service Condition Code
SALE,V,28,O,O,O,O,O,Transaction Fee Amount
SALE,V,35,M,M,M,X,M,Track 2 Data
SALE,V,36,X,X,X,X,X,Track 3 Data
SALE,V,37,X,X,X,X,X,Retrieval Reference Number
SALE,V,38,X,X,X,X,X,Authorization Code
SALE,V,39,X,X,X,X,X,Response Code
SALE,V,41,M,M,M,M,M,Card Acceptor Terminal Identification
SALE,V,42,M,M,M,M,M,Card Acceptor Identification Code
SALE,V,48,O,O,O,O,O,Card Verification Data
SALE,V,52,O,O,O,O,O,PIN Data
SALE,V,53,O,O,O,O,O,Security Related Control Information
SALE,V,54,O,O,O,O,O,Additional Amounts
SALE,V,55,M,X,X,X,M,EMV Chip Data
SALE,V,59,O,O,O,O,O,Card Authentication Data
SALE,V,61,M,M,M,M,M,Additional POS Data
SALE,V,62,O,O,O,O,O,Invoice/ECR Reference Number
SALE,V,63,M,M,M,M,M,Additional Data
